category,id,geojson_file,source,year,description,display_name,state,label
city,parole,cities/parole.geojson,SBM/ramSeraph,,"","Parole","Jammu & Kashmir","Wards"
city,parpodi,cities/parpodi.geojson,SBM/ramSeraph,,"","Parpodi","Chhattisgarh","Wards"
city,parshadepur,cities/parshadepur.geojson,SBM/ramSeraph,,"","Parshadepur","Uttar Pradesh","Wards"
city,partapur_garhi,cities/partapur_garhi.geojson,SBM/ramSeraph,,"","Partapur Garhi","Rajasthan","Wards"
city,partawal,cities/partawal.geojson,SBM/ramSeraph,,"","Partawal","Uttar Pradesh","Wards"
city,partur,cities/partur.geojson,SBM/ramSeraph,,"","Partur","Maharashtra","Wards"
city,parvathipuram,cities/parvathipuram.geojson,SBM/ramSeraph,,"","Parvathipuram","Andhra Pradesh","Wards"
city,pasan,cities/pasan.geojson,SBM/ramSeraph,,"","Pasan","Madhya Pradesh","Wards"
city,patan_cg,cities/patan_cg.geojson,SBM/ramSeraph,,"","Patan","Chhattisgarh","Wards"
city,patan_gu,cities/patan_gu.geojson,SBM/ramSeraph,,"","Patan_Gu","Gujarat","Wards"
city,patan_mh,cities/patan_mh.geojson,SBM/ramSeraph,,"","Patan","Maharashtra","Wards"
city,patan_mp,cities/patan_mp.geojson,SBM/ramSeraph,,"","Patan_Mp","Madhya Pradesh","Wards"
city,pataudi,cities/pataudi.geojson,SBM/ramSeraph,,"","Pataudi","Haryana","Wards"
city,patera,cities/patera.geojson,SBM/ramSeraph,,"","Patera","Madhya Pradesh","Wards"
city,pathalgaon,cities/pathalgaon.geojson,SBM/ramSeraph,,"","Pathalgaon","Chhattisgarh","Wards"
city,pathanamthitta,cities/pathanamthitta.geojson,SBM/ramSeraph,,"","Pathanamthitta","Kerala","Wards"
city,pathankot,cities/pathankot.geojson,SBM/ramSeraph,,"","Pathankot","Punjab","Wards"
city,pathardewa,cities/pathardewa.geojson,SBM/ramSeraph,,"","Pathardewa","Uttar Pradesh","Wards"
city,patharia,cities/patharia.geojson,SBM/ramSeraph,,"","Patharia","Madhya Pradesh","Wards"
city,pathariya,cities/pathariya.geojson,SBM/ramSeraph,,"","Pathariya","Chhattisgarh","Wards"
city,pathri,cities/pathri.geojson,SBM/ramSeraph,,"","Pathri","Maharashtra","Wards"
city,pathsala_mb,cities/pathsala_mb.geojson,SBM/ramSeraph,,"","Pathsala Mb","Assam","Wards"
city,patiala,cities/patiala.geojson,SBM/ramSeraph,,"","Patiala","Punjab","Wards"
city,patiyali,cities/patiyali.geojson,SBM/ramSeraph,,"","Patiyali","Uttar Pradesh","Wards"
city,patnagarh,cities/patnagarh.geojson,SBM/ramSeraph,,"","Patnagarh","Odisha","Wards"
city,patoda,cities/patoda.geojson,SBM/ramSeraph,,"","Patoda","Maharashtra","Wards"
city,patran,cities/patran.geojson,SBM/ramSeraph,,"","Patran","Punjab","Wards"
city,pattambi,cities/pattambi.geojson,SBM/ramSeraph,,"","Pattambi","Kerala","Wards"
city,pattamundai,cities/pattamundai.geojson,SBM/ramSeraph,,"","Pattamundai","Odisha","Wards"
city,pattan,cities/pattan.geojson,SBM/ramSeraph,,"","Pattan","Jammu & Kashmir","Wards"
city,patti,cities/patti.geojson,SBM/ramSeraph,,"","Patti","Punjab","Wards"
city,pattukkottai_l,cities/pattukkottai_l.geojson,SBM/ramSeraph,,"","Pattukkottai L","Tamil Nadu","Wards"
city,pauni,cities/pauni.geojson,SBM/ramSeraph,,"","Pauni","Maharashtra","Wards"
city,pavagada,cities/pavagada.geojson,SBM/ramSeraph,,"","Pavagada","Karnataka","Wards"
city,pavata_pragpura,cities/pavata_pragpura.geojson,SBM/ramSeraph,,"","Pavata Pragpura","Rajasthan","Wards"
city,pawai,cities/pawai.geojson,SBM/ramSeraph,,"","Pawai","Madhya Pradesh","Wards"
city,payal,cities/payal.geojson,SBM/ramSeraph,,"","Payal","Punjab","Wards"
city,payyannur,cities/payyannur.geojson,SBM/ramSeraph,,"","Payyannur","Kerala","Wards"
city,payyoli,cities/payyoli.geojson,SBM/ramSeraph,,"","Payyoli","Kerala","Wards"
city,pebbair,cities/pebbair.geojson,SBM/ramSeraph,,"","Pebbair","Telangana","Wards"
city,pedana,cities/pedana.geojson,SBM/ramSeraph,,"","Pedana","Andhra Pradesh","Wards"
city,peddaamberpet,cities/peddaamberpet.geojson,SBM/ramSeraph,,"","Peddaamberpet","Telangana","Wards"
city,peddapalli,cities/peddapalli.geojson,SBM/ramSeraph,,"","Peddapalli","Telangana","Wards"
city,peddapuram,cities/peddapuram.geojson,SBM/ramSeraph,,"","Peddapuram","Andhra Pradesh","Wards"
city,peerzadiguda,cities/peerzadiguda.geojson,SBM/ramSeraph,,"","Peerzadiguda","Telangana","Wards"
city,pehowa,cities/pehowa.geojson,SBM/ramSeraph,,"","Pehowa","Haryana","Wards"
city,pen,cities/pen.geojson,SBM/ramSeraph,,"","Pen","Maharashtra","Wards"
city,pendra,cities/pendra.geojson,SBM/ramSeraph,,"","Pendra","Chhattisgarh","Wards"
city,perambalur,cities/perambalur.geojson,SBM/ramSeraph,,"","Perambalur","Tamil Nadu","Wards"
city,peranamallur,cities/peranamallur.geojson,SBM/ramSeraph,,"","Peranamallur","Tamil Nadu","Wards"
city,perinthalmanna,cities/perinthalmanna.geojson,SBM/ramSeraph,,"","Perinthalmanna","Kerala","Wards"
city,periyakulam,cities/periyakulam.geojson,SBM/ramSeraph,,"","Periyakulam","Tamil Nadu","Wards"
city,periyanaikenpalayam,cities/periyanaikenpalayam.geojson,SBM/ramSeraph,,"","Periyanaikenpalayam","Tamil Nadu","Wards"
city,periyapatna,cities/periyapatna.geojson,SBM/ramSeraph,,"","Periyapatna","Karnataka","Wards"
city,pernambut,cities/pernambut.geojson,SBM/ramSeraph,,"","Pernambut","Tamil Nadu","Wards"
city,perumbavoor,cities/perumbavoor.geojson,SBM/ramSeraph,,"","Perumbavoor","Kerala","Wards"
city,peth,cities/peth.geojson,SBM/ramSeraph,,"","Peth","Maharashtra","Wards"
city,peth_umri,cities/peth_umri.geojson,SBM/ramSeraph,,"","Peth Umri","Maharashtra","Wards"
city,petlawad,cities/petlawad.geojson,SBM/ramSeraph,,"","Petlawad","Madhya Pradesh","Wards"
city,phagwara,cities/phagwara.geojson,SBM/ramSeraph,,"","Phagwara","Punjab","Wards"
city,phalawda,cities/phalawda.geojson,SBM/ramSeraph,,"","Phalawda","Uttar Pradesh","Wards"
city,phalodi,cities/phalodi.geojson,SBM/ramSeraph,,"","Phalodi","Rajasthan","Wards"
city,phaltan,cities/phaltan.geojson,SBM/ramSeraph,,"","Phaltan","Maharashtra","Wards"
city,phillaur,cities/phillaur.geojson,SBM/ramSeraph,,"","Phillaur","Punjab","Wards"
city,phulabani,cities/phulabani.geojson,SBM/ramSeraph,,"","Phulabani","Odisha","Wards"
city,phulambri,cities/phulambri.geojson,SBM/ramSeraph,,"","Phulambri","Maharashtra","Wards"
city,phulera,cities/phulera.geojson,SBM/ramSeraph,,"","Phulera","Rajasthan","Wards"
city,phulpur_al,cities/phulpur_al.geojson,SBM/ramSeraph,,"","Phulpur_Al","Uttar Pradesh","Wards"
city,phulwari_sharif,cities/phulwari_sharif.geojson,SBM/ramSeraph,,"","Phulwari Sharif","Bihar","Wards"
city,phuphkalan,cities/phuphkalan.geojson,SBM/ramSeraph,,"","Phuphkalan","Madhya Pradesh","Wards"
city,phusro,cities/phusro.geojson,SBM/ramSeraph,,"","Phusro","Jharkhand","Wards"
city,pichhor,cities/pichhor.geojson,SBM/ramSeraph,,"","Pichhor","Madhya Pradesh","Wards"
city,pichhore,cities/pichhore.geojson,SBM/ramSeraph,,"","Pichhore","Madhya Pradesh","Wards"
city,piduguralla,cities/piduguralla.geojson,SBM/ramSeraph,,"","Piduguralla","Andhra Pradesh","Wards"
city,pihani,cities/pihani.geojson,SBM/ramSeraph,,"","Pihani","Uttar Pradesh","Wards"
city,pilakhuwa,cities/pilakhuwa.geojson,SBM/ramSeraph,,"","Pilakhuwa","Uttar Pradesh","Wards"
city,pilani,cities/pilani.geojson,SBM/ramSeraph,,"","Pilani","Rajasthan","Wards"
city,pilibanga,cities/pilibanga.geojson,SBM/ramSeraph,,"","Pilibanga","Rajasthan","Wards"
city,pilibhit,cities/pilibhit.geojson,SBM/ramSeraph,,"","Pilibhit","Uttar Pradesh","Wards"
city,pilkhana,cities/pilkhana.geojson,SBM/ramSeraph,,"","Pilkhana","Uttar Pradesh","Wards"
city,pimpri_chinchwad,cities/pimpri_chinchwad.geojson,SBM/ramSeraph,,"","Pimpri Chinchwad","Maharashtra","Wards"
city,pinahat,cities/pinahat.geojson,SBM/ramSeraph,,"","Pinahat","Uttar Pradesh","Wards"
city,pindwara,cities/pindwara.geojson,SBM/ramSeraph,,"","Pindwara","Rajasthan","Wards"
city,pipalrawan,cities/pipalrawan.geojson,SBM/ramSeraph,,"","Pipalrawan","Madhya Pradesh","Wards"
city,pipar_city,cities/pipar_city.geojson,SBM/ramSeraph,,"","Pipar City","Rajasthan","Wards"
city,piparai,cities/piparai.geojson,SBM/ramSeraph,,"","Piparai","Madhya Pradesh","Wards"
city,pipariya_cg,cities/pipariya_cg.geojson,SBM/ramSeraph,,"","Pipariya","Chhattisgarh","Wards"
city,pipariya_mp,cities/pipariya_mp.geojson,SBM/ramSeraph,,"","Pipariya","Madhya Pradesh","Wards"
city,pipili,cities/pipili.geojson,SBM/ramSeraph,,"","Pipili","Odisha","Wards"
city,piplanarayanwar,cities/piplanarayanwar.geojson,SBM/ramSeraph,,"","Piplanarayanwar","Madhya Pradesh","Wards"
city,piplodha,cities/piplodha.geojson,SBM/ramSeraph,,"","Piplodha","Madhya Pradesh","Wards"
city,piplyamandi,cities/piplyamandi.geojson,SBM/ramSeraph,,"","Piplyamandi","Madhya Pradesh","Wards"
city,pipri,cities/pipri.geojson,SBM/ramSeraph,,"","Pipri","Uttar Pradesh","Wards"
city,pirawa,cities/pirawa.geojson,SBM/ramSeraph,,"","Pirawa","Rajasthan","Wards"
city,pithampur,cities/pithampur.geojson,SBM/ramSeraph,,"","Pithampur","Madhya Pradesh","Wards"
city,pithapuram,cities/pithapuram.geojson,SBM/ramSeraph,,"","Pithapuram","Andhra Pradesh","Wards"
city,pithora,cities/pithora.geojson,SBM/ramSeraph,,"","Pithora","Chhattisgarh","Wards"
city,poanta_sahib,cities/poanta_sahib.geojson,SBM/ramSeraph,,"","Poanta Sahib","Himachal Pradesh","Wards"
city,pohari,cities/pohari.geojson,SBM/ramSeraph,,"","Pohari","Madhya Pradesh","Wards"
city,pokaran,cities/pokaran.geojson,SBM/ramSeraph,,"","Pokaran","Rajasthan","Wards"
city,poladpur,cities/poladpur.geojson,SBM/ramSeraph,,"","Poladpur","Maharashtra","Wards"
city,polasara,cities/polasara.geojson,SBM/ramSeraph,,"","Polasara","Odisha","Wards"
city,polaykalan,cities/polaykalan.geojson,SBM/ramSeraph,,"","Polaykalan","Madhya Pradesh","Wards"
city,pollachi,cities/pollachi.geojson,SBM/ramSeraph,,"","Pollachi","Tamil Nadu","Wards"
city,pombhurna,cities/pombhurna.geojson,SBM/ramSeraph,,"","Pombhurna","Maharashtra","Wards"
city,ponda,cities/ponda.geojson,SBM/ramSeraph,,"","Ponda","Goa","Wards"
city,ponnani,cities/ponnani.geojson,SBM/ramSeraph,,"","Ponnani","Kerala","Wards"
city,ponnur,cities/ponnur.geojson,SBM/ramSeraph,,"","Ponnur","Andhra Pradesh","Wards"
city,porbandar_chhaya_nagarpalika,cities/porbandar_chhaya_nagarpalika.geojson,SBM/ramSeraph,,"","Porbandar Chhaya Nagarpalika","Gujarat","Wards"
city,porsa,cities/porsa.geojson,SBM/ramSeraph,,"","Porsa","Madhya Pradesh","Wards"
city,port_blair,cities/port_blair.geojson,LivingAtlas/ramSeraph,,"","Port Blair","Andaman & Nicobar","Wards"
city,pratapgarh,cities/pratapgarh.geojson,SBM/ramSeraph,,"","Pratapgarh","Rajasthan","Wards"
city,pratappur,cities/pratappur.geojson,SBM/ramSeraph,,"","Pratappur","Chhattisgarh","Wards"
city,prayagraj,cities/prayagraj.geojson,SBM/ramSeraph,,"","Prayagraj","Uttar Pradesh","Wards"
city,premnagar,cities/premnagar.geojson,SBM/ramSeraph,,"","Premnagar","Chhattisgarh","Wards"
city,prithviganj,cities/prithviganj.geojson,SBM/ramSeraph,,"","Prithviganj","Uttar Pradesh","Wards"
city,proddatur,cities/proddatur.geojson,SBM/ramSeraph,,"","Proddatur","Andhra Pradesh","Wards"
city,pt_deen_dayal_upadhyay_nagar,cities/pt_deen_dayal_upadhyay_nagar.geojson,SBM/ramSeraph,,"","Pt. Deen Dayal Upadhyay Nagar","Uttar Pradesh","Wards"
city,puducherry,cities/puducherry.geojson,SBM/ramSeraph,,"","Puducherry;","Puducherry","Wards"
city,pudukkottai,cities/pudukkottai.geojson,SBM/ramSeraph,,"","Pudukkottai","Tamil Nadu","Wards"
city,pulgaon,cities/pulgaon.geojson,SBM/ramSeraph,,"","Pulgaon","Maharashtra","Wards"
city,puliampatti,cities/puliampatti.geojson,SBM/ramSeraph,,"","Puliampatti","Tamil Nadu","Wards"
city,pulivendula,cities/pulivendula.geojson,SBM/ramSeraph,,"","Pulivendula","Andhra Pradesh","Wards"
city,puliyangudi,cities/puliyangudi.geojson,SBM/ramSeraph,,"","Puliyangudi","Tamil Nadu","Wards"
city,punahana,cities/punahana.geojson,SBM/ramSeraph,,"","Punahana","Haryana","Wards"
city,punalur,cities/punalur.geojson,SBM/ramSeraph,,"","Punalur","Kerala","Wards"
city,punch,cities/punch.geojson,SBM/ramSeraph,,"","Punch","Jammu & Kashmir","Wards"
city,pundri,cities/pundri.geojson,SBM/ramSeraph,,"","Pundri","Haryana","Wards"
city,punganur,cities/punganur.geojson,SBM/ramSeraph,,"","Punganur","Andhra Pradesh","Wards"
city,punjaipugalur,cities/punjaipugalur.geojson,SBM/ramSeraph,,"","Punjaipugalur","Tamil Nadu","Wards"
city,puranpur,cities/puranpur.geojson,SBM/ramSeraph,,"","Puranpur","Uttar Pradesh","Wards"
city,purdil_nagar,cities/purdil_nagar.geojson,SBM/ramSeraph,,"","Purdil Nagar","Uttar Pradesh","Wards"
city,puri,cities/puri.geojson,SBM/ramSeraph,,"","Puri","Odisha","Wards"
city,purna,cities/purna.geojson,SBM/ramSeraph,,"","Purna","Maharashtra","Wards"
city,purquazi,cities/purquazi.geojson,SBM/ramSeraph,,"","Purquazi","Uttar Pradesh","Wards"
city,purulia,cities/purulia.geojson,WB_AMRUT/ramSeraph,,"","Purulia","West Bengal","Wards"
city,purusottampur,cities/purusottampur.geojson,SBM/ramSeraph,,"","Purusottampur","Odisha","Wards"
city,pusad,cities/pusad.geojson,SBM/ramSeraph,,"","Pusad","Maharashtra","Wards"
city,pusaur,cities/pusaur.geojson,SBM/ramSeraph,,"","Pusaur","Chhattisgarh","Wards"
city,pushkar,cities/pushkar.geojson,SBM/ramSeraph,,"","Pushkar","Rajasthan","Wards"
city,puttaparthi,cities/puttaparthi.geojson,SBM/ramSeraph,,"","Puttaparthi","Andhra Pradesh","Wards"
city,puttur_ap,cities/puttur_ap.geojson,SBM/ramSeraph,,"","Puttur","Andhra Pradesh","Wards"
city,puttur_ka,cities/puttur_ka.geojson,SBM/ramSeraph,,"","Puttur","Karnataka","Wards"
city,qadian,cities/qadian.geojson,SBM/ramSeraph,,"","Qadian","Punjab","Wards"
city,rabkavi_banhatti,cities/rabkavi_banhatti.geojson,SBM/ramSeraph,,"","Rabkavi Banhatti","Karnataka","Wards"
city,rabupura,cities/rabupura.geojson,SBM/ramSeraph,,"","Rabupura","Uttar Pradesh","Wards"
city,radaur,cities/radaur.geojson,SBM/ramSeraph,,"","Radaur","Haryana","Wards"
city,radhakund,cities/radhakund.geojson,SBM/ramSeraph,,"","Radhakund","Uttar Pradesh","Wards"
city,radhogarh,cities/radhogarh.geojson,SBM/ramSeraph,,"","Radhogarh","Madhya Pradesh","Wards"
city,rahatgarh,cities/rahatgarh.geojson,SBM/ramSeraph,,"","Rahatgarh","Madhya Pradesh","Wards"
city,rahaud,cities/rahaud.geojson,SBM/ramSeraph,,"","Rahaud","Chhattisgarh","Wards"
city,rahon,cities/rahon.geojson,SBM/ramSeraph,,"","Rahon","Punjab","Wards"
city,raibag,cities/raibag.geojson,SBM/ramSeraph,,"","Raibag","Karnataka","Wards"
city,raichur,cities/raichur.geojson,SBM/ramSeraph,,"","Raichur","Karnataka","Wards"
city,raiganj,cities/raiganj.geojson,WB_AMRUT/ramSeraph,,"","Raiganj","West Bengal","Wards"
city,raigarh,cities/raigarh.geojson,SBM/ramSeraph,,"","Raigarh","Chhattisgarh","Wards"
city,raikal,cities/raikal.geojson,SBM/ramSeraph,,"","Raikal","Telangana","Wards"
city,raikot,cities/raikot.geojson,SBM/ramSeraph,,"","Raikot","Punjab","Wards"
city,raipur,cities/raipur.geojson,SBM/ramSeraph,,"","Raipur","Chhattisgarh","Wards"
city,raisen,cities/raisen.geojson,SBM/ramSeraph,,"","Raisen","Madhya Pradesh","Wards"
city,raisinghnagar,cities/raisinghnagar.geojson,SBM/ramSeraph,,"","Raisinghnagar","Rajasthan","Wards"
city,raja_ka_rampur,cities/raja_ka_rampur.geojson,SBM/ramSeraph,,"","Raja Ka Rampur","Uttar Pradesh","Wards"
city,raja_sansi,cities/raja_sansi.geojson,SBM/ramSeraph,,"","Raja Sansi","Punjab","Wards"
city,rajahmundry,cities/rajahmundry.geojson,SBM/ramSeraph,,"","Rajahmundry","Andhra Pradesh","Wards"
city,rajakhera,cities/rajakhera.geojson,SBM/ramSeraph,,"","Rajakhera","Rajasthan","Wards"
city,rajaldesar,cities/rajaldesar.geojson,SBM/ramSeraph,,"","Rajaldesar","Rajasthan","Wards"
city,rajam,cities/rajam.geojson,SBM/ramSeraph,,"","Rajam","Andhra Pradesh","Wards"
city,rajampeta,cities/rajampeta.geojson,SBM/ramSeraph,,"","Rajampeta","Andhra Pradesh","Wards"
city,rajauri,cities/rajauri.geojson,SBM/ramSeraph,,"","Rajauri","Jammu & Kashmir","Wards"
city,rajgangpur,cities/rajgangpur.geojson,SBM/ramSeraph,,"","Rajgangpur","Odisha","Wards"
city,rajgarh_mp,cities/rajgarh_mp.geojson,SBM/ramSeraph,,"","Rajgarh","Madhya Pradesh","Wards"
city,rajgarh_rj,cities/rajgarh_rj.geojson,SBM/ramSeraph,,"","Rajgarh","Rajasthan","Wards"
city,rajgir,cities/rajgir.geojson,SBM/ramSeraph,,"","Rajgir","Bihar","Wards"
city,rajgurunagar,cities/rajgurunagar.geojson,SBM/ramSeraph,,"","Rajgurunagar","Maharashtra","Wards"
city,rajim,cities/rajim.geojson,SBM/ramSeraph,,"","Rajim","Chhattisgarh","Wards"
city,rajkot,cities/rajkot.geojson,SBM/ramSeraph,,"","Rajkot","Gujarat","Wards"
city,rajmahal,cities/rajmahal.geojson,SBM/ramSeraph,,"","Rajmahal","Jharkhand","Wards"
city,rajnandgaon,cities/rajnandgaon.geojson,SBM/ramSeraph,,"","Rajnandgaon","Chhattisgarh","Wards"
city,rajound,cities/rajound.geojson,SBM/ramSeraph,,"","Rajound","Haryana","Wards"
city,rajpur_cg,cities/rajpur_cg.geojson,SBM/ramSeraph,,"","Rajpur","Chhattisgarh","Wards"
city,rajpur_mp,cities/rajpur_mp.geojson,SBM/ramSeraph,,"","Rajpur","Madhya Pradesh","Wards"
city,rajpura,cities/rajpura.geojson,SBM/ramSeraph,,"","Rajpura","Punjab","Wards"
city,rajsamand,cities/rajsamand.geojson,SBM/ramSeraph,,"","Rajsamand","Rajasthan","Wards"
city,rajura,cities/rajura.geojson,SBM/ramSeraph,,"","Rajura","Maharashtra","Wards"
city,ralegaon,cities/ralegaon.geojson,SBM/ramSeraph,,"","Ralegaon","Maharashtra","Wards"
city,ramachandrapuram,cities/ramachandrapuram.geojson,SBM/ramSeraph,,"","Ramachandrapuram","Andhra Pradesh","Wards"
city,ramagundem,cities/ramagundem.geojson,SBM/ramSeraph,,"","Ramagundem","Telangana","Wards"
city,raman,cities/raman.geojson,SBM/ramSeraph,,"","Raman","Punjab","Wards"
city,ramanagara,cities/ramanagara.geojson,SBM/ramSeraph,,"","Ramanagara","Karnataka","Wards"
city,ramanathapuram,cities/ramanathapuram.geojson,SBM/ramSeraph,,"","Ramanathapuram","Tamil Nadu","Wards"
city,ramanattukara,cities/ramanattukara.geojson,SBM/ramSeraph,,"","Ramanattukara","Kerala","Wards"
city,ramanujganj,cities/ramanujganj.geojson,SBM/ramSeraph,,"","Ramanujganj","Chhattisgarh","Wards"
city,rambha,cities/rambha.geojson,SBM/ramSeraph,,"","Rambha","Odisha","Wards"
city,ramdas,cities/ramdas.geojson,SBM/ramSeraph,,"","Ramdas","Punjab","Wards"
city,ramdurga,cities/ramdurga.geojson,SBM/ramSeraph,,"","Ramdurga","Karnataka","Wards"
city,rameshwaram,cities/rameshwaram.geojson,SBM/ramSeraph,,"","Rameshwaram","Tamil Nadu","Wards"
city,ramganj,cities/ramganj.geojson,SBM/ramSeraph,,"","Ramganj","Uttar Pradesh","Wards"
city,ramganj_mandi,cities/ramganj_mandi.geojson,SBM/ramSeraph,,"","Ramganj Mandi","Rajasthan","Wards"
city,ramgarh_jh,cities/ramgarh_jh.geojson,SBM/ramSeraph,,"","Ramgarh","Jharkhand","Wards"
city,ramgarh_jk,cities/ramgarh_jk.geojson,SBM/ramSeraph,,"","Ramgarh","Jammu & Kashmir","Wards"
city,ramgarh_rj,cities/ramgarh_rj.geojson,SBM/ramSeraph,,"","Ramgarh","Rajasthan","Wards"
city,ramkola,cities/ramkola.geojson,SBM/ramSeraph,,"","Ramkola","Uttar Pradesh","Wards"
city,ramnagar,cities/ramnagar.geojson,SBM/ramSeraph,,"","Ramnagar","Uttarakhand","Wards"
city,rampur,cities/rampur.geojson,SBM/ramSeraph,,"","Rampur","Uttar Pradesh","Wards"
city,rampur_baghelan,cities/rampur_baghelan.geojson,SBM/ramSeraph,,"","Rampur Baghelan","Madhya Pradesh","Wards"
city,rampur_maniharan,cities/rampur_maniharan.geojson,SBM/ramSeraph,,"","Rampur Maniharan","Uttar Pradesh","Wards"
city,rampur_naikin,cities/rampur_naikin.geojson,SBM/ramSeraph,,"","Rampur Naikin","Madhya Pradesh","Wards"
city,rampura,cities/rampura.geojson,SBM/ramSeraph,,"","Rampura","Madhya Pradesh","Wards"
city,rampura_phul,cities/rampura_phul.geojson,SBM/ramSeraph,,"","Rampura Phul","Punjab","Wards"
city,ramtek,cities/ramtek.geojson,SBM/ramSeraph,,"","Ramtek","Maharashtra","Wards"
city,ranapur,cities/ranapur.geojson,SBM/ramSeraph,,"","Ranapur","Madhya Pradesh","Wards"
city,ranchi,cities/ranchi.geojson,SBM/ramSeraph,,"","Ranchi","Jharkhand","Wards"
city,rangia,cities/rangia.geojson,SBM/ramSeraph,,"","Rangia","Assam","Wards"
city,rani,cities/rani.geojson,SBM/ramSeraph,,"","Rani","Rajasthan","Wards"
city,rania,cities/rania.geojson,SBM/ramSeraph,,"","Rania","Haryana","Wards"
city,ranibennur,cities/ranibennur.geojson,SBM/ramSeraph,,"","Ranibennur","Karnataka","Wards"
city,raniganj,cities/raniganj.geojson,SBM/ramSeraph,,"","Raniganj","Uttar Pradesh","Wards"
city,ranipet,cities/ranipet.geojson,SBM/ramSeraph,,"","Ranipet","Tamil Nadu","Wards"
city,rannod,cities/rannod.geojson,SBM/ramSeraph,,"","Rannod","Madhya Pradesh","Wards"
city,ranpur,cities/ranpur.geojson,SBM/ramSeraph,,"","Ranpur","Odisha","Wards"
city,rasipuram,cities/rasipuram.geojson,SBM/ramSeraph,,"","Rasipuram","Tamil Nadu","Wards"
city,rasulabad,cities/rasulabad.geojson,SBM/ramSeraph,,"","Rasulabad","Uttar Pradesh","Wards"
city,ratangarh,cities/ratangarh.geojson,SBM/ramSeraph,,"","Ratangarh","Madhya Pradesh","Wards"
city,ratannagar,cities/ratannagar.geojson,SBM/ramSeraph,,"","Ratannagar","Rajasthan","Wards"
city,ratanpur,cities/ratanpur.geojson,SBM/ramSeraph,,"","Ratanpur","Chhattisgarh","Wards"
city,rataul,cities/rataul.geojson,SBM/ramSeraph,,"","Rataul","Uttar Pradesh","Wards"
city,ratia,cities/ratia.geojson,SBM/ramSeraph,,"","Ratia","Haryana","Wards"
city,ratlam,cities/ratlam.geojson,SBM/ramSeraph,,"","Ratlam","Madhya Pradesh","Wards"
city,ratnagiri,cities/ratnagiri.geojson,SBM/ramSeraph,,"","Ratnagiri","Maharashtra","Wards"
city,rau,cities/rau.geojson,SBM/ramSeraph,,"","Rau","Madhya Pradesh","Wards"
city,raun,cities/raun.geojson,SBM/ramSeraph,,"","Raun","Madhya Pradesh","Wards"
city,raurkela,cities/raurkela.geojson,LivingAtlas/ramSeraph,,"","Raurkela","Odisha","Wards"
city,rawatbhata,cities/rawatbhata.geojson,SBM/ramSeraph,,"","Rawatbhata","Rajasthan","Wards"
city,rawatsar,cities/rawatsar.geojson,SBM/ramSeraph,,"","Rawatsar","Rajasthan","Wards"
city,raya,cities/raya.geojson,SBM/ramSeraph,,"","Raya","Uttar Pradesh","Wards"
city,rayachoti,cities/rayachoti.geojson,SBM/ramSeraph,,"","Rayachoti","Andhra Pradesh","Wards"
city,rayadurg,cities/rayadurg.geojson,SBM/ramSeraph,,"","Rayadurg","Andhra Pradesh","Wards"
city,rayagada,cities/rayagada.geojson,SBM/ramSeraph,,"","Rayagada","Odisha","Wards"
city,rayya,cities/rayya.geojson,SBM/ramSeraph,,"","Rayya","Punjab","Wards"
city,reasi,cities/reasi.geojson,SBM/ramSeraph,,"","Reasi","Jammu & Kashmir","Wards"
city,reengus,cities/reengus.geojson,SBM/ramSeraph,,"","Reengus","Rajasthan","Wards"
city,rehati,cities/rehati.geojson,SBM/ramSeraph,,"","Rehati","Madhya Pradesh","Wards"
city,rehli,cities/rehli.geojson,SBM/ramSeraph,,"","Rehli","Madhya Pradesh","Wards"
city,renapur,cities/renapur.geojson,SBM/ramSeraph,,"","Renapur","Maharashtra","Wards"
city,renukoot,cities/renukoot.geojson,SBM/ramSeraph,,"","Renukoot","Uttar Pradesh","Wards"
city,reoti,cities/reoti.geojson,SBM/ramSeraph,,"","Reoti","Uttar Pradesh","Wards"
city,repalle,cities/repalle.geojson,SBM/ramSeraph,,"","Repalle","Andhra Pradesh","Wards"
city,revelganj,cities/revelganj.geojson,SBM/ramSeraph,,"","Revelganj","Bihar","Wards"
city,rewa,cities/rewa.geojson,SBM/ramSeraph,,"","Rewa","Madhya Pradesh","Wards"
city,rewari,cities/rewari.geojson,SBM/ramSeraph,,"","Rewari","Haryana","Wards"
city,riccha,cities/riccha.geojson,SBM/ramSeraph,,"","Riccha","Uttar Pradesh","Wards"
city,risali,cities/risali.geojson,SBM/ramSeraph,,"","Risali","Chhattisgarh","Wards"
city,rishikesh,cities/rishikesh.geojson,SBM/ramSeraph,,"","Rishikesh","Uttarakhand","Wards"
city,rishra,cities/rishra.geojson,WB_AMRUT/ramSeraph,,"","Rishra","West Bengal","Wards"
city,risia_jamal,cities/risia_jamal.geojson,SBM/ramSeraph,,"","Risia Jamal","Uttar Pradesh","Wards"
city,risod,cities/risod.geojson,SBM/ramSeraph,,"","Risod","Maharashtra","Wards"
city,rithora,cities/rithora.geojson,SBM/ramSeraph,,"","Rithora","Uttar Pradesh","Wards"
city,rohtak,cities/rohtak.geojson,SBM/ramSeraph,,"","Rohtak","Haryana","Wards"
city,ron,cities/ron.geojson,SBM/ramSeraph,,"","Ron","Karnataka","Wards"
city,roorkee,cities/roorkee.geojson,SBM/ramSeraph,,"","Roorkee","Uttarakhand","Wards"
